i,Name/Title,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,URL,Comments,"Task Color"
1,"PowerEnjoy RASD",2016-10-17,2016-11-25,0,0,,,,,,,
1.1,"RASD writing",2016-10-17,2016-11-25,0,0,0,,,,,,
1.1.1,"Meeting with customer",2016-10-17,2016-10-17,0,0,0,,,,,,blue2
1.1.2,Draft,2016-10-18,2016-10-18,0,0,0,,,,,,blue2
1.1.3,"Definition of goals",2016-10-19,2016-10-21,0,0,0,,,,,,blue2
1.1.4,"Definition of constraints",2016-10-19,2016-10-21,0,0,0,,,,,,blue2
1.1.5,"Definition of assumptions",2016-10-19,2016-10-21,0,0,0,,,,,,blue2
1.1.6,"Definition of external dependencies",2016-10-19,2016-10-21,0,0,0,,,,,,blue2
1.1.7,"Definition of actors",2016-10-19,2016-10-21,0,0,0,,,,,,blue2
1.1.8,"Definition of functional requirements",2016-10-24,2016-10-27,0,0,0,,,,,,blue2
1.1.9,"Definition of non-functional requirements",2016-10-28,2016-10-28,0,0,0,,,,,,blue2
1.1.10,"Definition Mock Ups",2016-10-31,2016-10-31,0,0,0,,,,,,blue2
1.1.11,"Definition Scenarios",2016-11-01,2016-11-02,0,0,0,,,,,,blue2
1.1.12,"Meeting with customers",2016-11-03,2016-11-03,0,0,0,,,,,,blue2
1.1.13,Revision,2016-11-04,2016-11-04,0,0,0,,,,,,blue2
1.1.14,"Modelling mock ups",2016-11-07,2016-11-08,0,0,0,,,,,,blue2
1.1.15,"Modelling scenarios",2016-11-09,2016-11-11,0,0,0,,,,,,blue2
1.1.16,"Modelling use cases",2016-11-14,2016-11-18,0,0,0,,,,,,blue2
1.1.17,"Modelling Alloy",2016-11-14,2016-11-18,0,0,0,,,,,,blue2
1.1.18,"Meeting with customers",2016-11-21,2016-11-21,0,0,0,,,,,,blue2
1.1.19,"Final revision",2016-11-22,2016-11-25,0,0,0,,,,,,blue2
